variable_concept,label,machine_field,datatype_2021,datatype_2025,datatype_2026,present_2021,present_2025,present_2026,public_surface,row_level_vs_aggregate,endpoint_vs_event_history,multiplicity,overwrite_history_behavior,missingness_2021,missingness_2025,missingness_2026,semantic_continuity,semantics,authority_source
Beat,Beat,beat,text,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,single public row endpoint,one field value per public CAD row,No public version/event history or overwrite rule located.,not established,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Public beat endpoint.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
PoliceDistrict,PoliceDistrict,policedistrict,number,text,text,True,True,True,Data.NOLA annual Calls for Service,row-level public record,single public row endpoint,one field value per public CAD row,No public version/event history or overwrite rule located.,not established,100.0000% nonmissing,100.0000% nonmissing,Present with the same label in all three regimes.,Public police-district endpoint.,Official Data.NOLA dataset metadata and attached NOPD CFS dictionary; locked 2021 official metadata.
First dispatch timestamp,FirstUnitDispatchedTime,FirstUnitDispatchedTime,absent from locked public schema/model,datetime,datetime,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Single first-unit dispatch endpoint; aligns conceptually with TimeDispatch but construction is undocumented.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
First arrival timestamp,FirstUnitArrivedTime,FirstUnitArrivedTime,absent from locked public schema/model,datetime,datetime,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Single first-unit arrival endpoint; aligns conceptually with TimeArrive but construction is undocumented.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
Incident-to-dispatch duration,Incident_To_Dispatch_Seconds,Incident_To_Dispatch_Seconds,absent from locked public schema/model,integer,integer,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Derived duration; dashboard construction and missing-data rules are undocumented.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
Incident-to-en-route duration,Incident_To_EnRoute_Seconds,Incident_To_EnRoute_Seconds,absent from locked public schema/model,integer,integer,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Aggregate query verified non-null values and a large blank group; not shown in current report visuals and no public definition located.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
Incident-to-arrival duration,Incident_to_Arrival,Incident_to_Arrival,absent from locked public schema/model,integer,integer,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Derived duration; visible response-time concept but construction and exclusions are undocumented.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
Incident-to-close duration,Incident_To_Close_Seconds,Incident_To_Close_Seconds,absent from locked public schema/model,integer,integer,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Derived duration; construction and exclusions are undocumented.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
Priority change flag,Priority Change Flag,Priority Change Flag,absent from locked public schema/model,text,text,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Derived initial-versus-final endpoint flag; not a timestamped transition history.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
Signal change flag,Signal Change Flag,Signal Change Flag,absent from locked public schema/model,text,text,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Derived initial-versus-final signal flag; not a timestamped transition history.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
Initial modifying circumstance,Initial Modifying Circumanstance,Initial Modifying Circumanstance,absent from locked public schema/model,text,text,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Queryable aggregate category; construction from signal/priority data is undocumented.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
Final modifying circumstance,Final Modifying Circumstance,Final Modifying Circumstance,absent from locked public schema/model,text,text,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Queryable aggregate category; construction from signal/priority data is undocumented.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
CAD record source,CAD Record Source,CAD Record Source,absent from locked public schema/model,text,text,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,Dashboard classifies counted rows as Not Officer Initiated; does not reconcile exactly to raw SelfInitiated counts.,Official public NOPD Power BI conceptual schema and aggregate query endpoint.
CAD record source detail,CAD Record Source Detail,CAD Record Source Detail,absent from locked public schema/model,text,text,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,"Queryable values include 911, Alarm, Direct Line, EMS, MDT/Officer, PBX, Phone, and others; measure binding is not documented.",Official public NOPD Power BI conceptual schema and aggregate query endpoint.
All dispositions,All Dispositions,All Dispositions,absent from locked public schema/model,text,text,False,True,True,Current public NOPD Response Times Power BI semantic model (model covers 2023-2026),model column; aggregate API query verified; only selected fields appear in the visible row table,derived endpoint/model field; no qualified event history,"one model value per modeled incident except All Dispositions, whose comma-delimited multiplicity is not qualified","No public construction, version, overwrite, or event-order rule located.",not applicable,not published by year,not published by year,Current dashboard-only enrichment; common 2021 semantic binding not established.,"Queryable comma-delimited values include repeated and mixed codes; ordering, timestamps, event identity, and overwrite behavior are undocumented.",Official public NOPD Power BI conceptual schema and aggregate query endpoint.
CFS-to-EPR bridge identifier,Item_Number,item_number,text,text,dataset not catalog-listed as of retrieval,True,True,False,Annual Electronic Police Report dataset,row-level EPR; one CFS item may have multiple EPR person/offense rows,"bridge endpoint, not internal/public publication history",one-to-many from CAD item to EPR rows,No public version history located.,0 null item_number rows in locked aggregate probe,metadata-only in this replay; not recomputed,not applicable; no catalog-listed 2026 EPR dataset,"Bridge exists in 2021 and 2025, but no same-year 2026 public EPR endpoint was located.",Public identifier permitting conservative CAD-EPR linkage after normalization.,Official Data.NOLA EPR 2021/2025 metadata and official Socrata catalog query.
calls holding / queue state,none located,none,absent,absent,absent,False,False,False,No official public data field located,neither,not observed,not observed,not applicable,structurally absent,structurally absent,structurally absent,Persistent public non-observability.,"No public row or aggregate queue-length, waiting-duration, or calls-holding time series located.","Official current Socrata schemas, NOPD dashboard model, dashboard directory, and current policies searched."
unit availability / effective capacity,none located,none,absent,absent,absent,False,False,False,No official public data field located,neither,not observed,not observed,not applicable,structurally absent,structurally absent,structurally absent,Persistent public non-observability.,"No public row or aggregate available-unit, unit-status, staffing-at-risk, or effective-capacity state located.","Official current Socrata schemas, NOPD dashboard model, dashboard directory, and current policies searched."
callback / realized APR route,none located,none,absent,absent,absent,False,False,False,No official public data field located,neither,not observed,not observed,not applicable,structurally absent,structurally absent,structurally absent,Persistent public non-observability.,"Current policy documents callbacks and alternative routes, but no public realized callback/route variable was located.","Official current Socrata schemas, NOPD dashboard model, dashboard directory, and current policies searched."
system uptime / fallback continuity,none located,none,absent,absent,absent,False,False,False,No official public data field located,neither,not observed,not observed,not applicable,structurally absent,structurally absent,structurally absent,Persistent public non-observability.,"No public CAD/dispatch uptime, outage, failover, manual-mode, or continuity-state variable was located.","Official current Socrata schemas, NOPD dashboard model, dashboard directory, and current policies searched."
